antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({119, 1151, 951})","frozenset({768, 1161, 1367})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1161, 1151, 1367})","frozenset({768, 119, 951})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({364, 697, 1036})","frozenset({664, 1286})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({364, 1286})","frozenset({664, 697, 1036})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1096, 530})","frozenset({480, 946})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({664, 1286})","frozenset({364, 697, 1036})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({66, 343})","frozenset({1441, 499, 1025})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1441, 499, 1025})","frozenset({66, 343})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1441, 66, 343})","frozenset({1025, 499})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({66, 343})","frozenset({1025, 499})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1025, 499})","frozenset({66, 343})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({429, 502})","frozenset({745, 1234})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1234, 429})","frozenset({745, 502})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({745, 502})","frozenset({1234, 429})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({745, 1234})","frozenset({429, 502})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({316, 526})","frozenset({1042, 732})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1042, 732})","frozenset({316, 526})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1362, 859})","frozenset({120, 1435})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({120, 1435})","frozenset({1362, 859})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({399, 295})","frozenset({888, 1304})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
